nm_Kit_ID,mb_replicate,nm_Sampling_Date,fht_eDNA_survey_date,datecomp,fht_Site_comb,nm_Pond_Name,namedist,fht_Site_number,fht_Site_Name,Company,Sampler_Name,Sampling_DateTime,Arrival_Date,num_tubes,Damaged_tubes,Liquid_in_bag,Tubes_labelled,Tubes_filled,Additional_notes,Lab_work_Started,IPC_Positive_out_of_12,GCN_Positive_out_of_12,Status,Site_number_CHECK,GCN_Positive_Square,GCN_Negative_Square,Surveyor,1_km_square,Grid_reference,Easting,Northing,eDNA_score,GCN_test_result,Positive_no_kit,Kit_negative,Newt_Positive_sites,Newt_Negative_sites,HSI1_Pond_location,HSI2_Pond_area,HSI3_Pond_drying,HSI4_Water_quality,HSI5_Shade,HSI6_Waterfowl,HSI7_Fish,HSI8_Pond_count,HSI9_Terrestrial_habitat,HSI10_Macrophytes,DIMITRIOS_HSI,NO_HSI_REASON,SITE_FROM_DIMITRIOS,Inflow_present,Outflow_present,Nitrate,Phosphate,Clean,N,P,Acti_Angu_Angu_Anguangu,Acti_Cypr_Cobi_Cobitean,Acti_Cypr_Cypr_Abrabram,Acti_Cypr_Cypr_Albuunk,Acti_Cypr_Cypr_Blicunk,Acti_Cypr_Cypr_Caracara,Acti_Cypr_Cypr_Cyprcarp,Acti_Cypr_Cypr_Gobigobi,Acti_Cypr_Cypr_Leucidus,Acti_Cypr_Cypr_Phoxphox,Acti_Cypr_Cypr_Pimeprom,Acti_Cypr_Cypr_Rutiruti,Acti_Cypr_Cypr_Tinctinc,Acti_Cypr_Nema_Barbbarb,Acti_Esoc_Esoc_Esoxluci,Acti_Gast_Gast_Gastacul,Acti_Perc_Perc_Percluci,Amph_Anur_Bufo_Bufobufo,Amph_Anur_Rani_Ranatemp,Amph_Caud_Sala_Lisshelv,Amph_Caud_Sala_Lissvulg,Amph_Caud_Sala_Tritcris,Aves_Acci_Acci_Butebute,Aves_Anse_Anat_Aixgale,Aves_Anse_Anat_Anastado,Aves_Anse_Anat_Anatsp,Aves_Char_Lari_Larusp,Aves_Colu_Colu_Colulivi,Aves_Colu_Colu_Colusp,Aves_Gall_Phas_Phascolc,Aves_Grui_Rall_Fuliatra,Aves_Grui_Rall_Gallchlo,Aves_Pass_Acro_Acroscir,Aves_Pass_Corv_Garrglan,Aves_Pass_Corv_Picapica,Aves_Pass_Musc_Eritrube,Aves_Pass_Musc_Turdsp,Aves_Pass_Panu_Panubiar,Aves_Pass_Pari_Parumajo,Aves_Pass_Pass_Pass1,Aves_Pass_Pass_Pass2,Aves_Pass_Prun_Prunmodu,Aves_Pass_Stur_Sturvulg,Aves_Pass_Sylv_Sylvatri,Aves_Pass_Trog_Trogtrog,Aves_Pele_Arde_Ardecine,Aves_Pici_Pici_Dendmajo,Aves_Pici_Pici_Picuviri,Aves_Stri_Stri_Strisp,Mamm_Arti_Cerv_Caprcapr,Mamm_Arti_Cerv_Cervelap,Mamm_Arti_Cerv_Damadama,Mamm_Arti_Cerv_Hydriner,Mamm_Arti_Cerv_Muntreev,Mamm_Carn_Cani_Vulpvulp,Mamm_Carn_Must_Lutrlutr,Mamm_Carn_Must_Melemele,Mamm_Chir_Vesp_Myotnatt,Mamm_Chir_Vesp_Pipiaust,Mamm_Euli_Sori_Sorearan,Mamm_Euli_Talp_Talpeuro,Mamm_Rode_Cric_Arviterr,Mamm_Rode_Cric_Micragre,Mamm_Rode_Cric_Myodglar,Mamm_Rode_Muri_Apodsylv,Mamm_Rode_Muri_Rattnorv,Mamm_Rode_Sciu_Sciucaro
FHT1069,1,2017/06/23 00:00:00,2017/06/23 00:00:00,MATCH,Outdoor Activity Centre Pond 1,392 - Outdoor Centre Pond,0.30412698412698425,NA,Outdoor Activity Centre Pond 1,Freshwater Habitats Trust,HW,2017/06/23 07:40:00,2017/07/03 00:00:00,6,No,No,Yes,Yes,NA,2017/07/04 00:00:00,11,0,Negative,NA,NA,1,Hannah,TL0262,TL0238562537,502385,262537,0,Negative,FALSE,TRUE,NA,Negative,1,141,3,2,100,3,4,5,2,0,0.49762180185102967,NA,392 / 854,N,N,<0.2,0.2-0.5,1,0.1,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,8839,0,48175,0,904,0,0,0,0,2416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT416,1,2017/05/16 00:00:00,2017/05/16 00:00:00,MATCH,THE LODGE,309A The Lodge (SP7503916162),0.3039591315453385,NA,THE LODGE,Freshwater Habitats Trust,AH,2017/05/16 14:00:00,2017/05/25 00:00:00,6,No,No,Yes,Yes,NA,2017/05/30 00:00:00,12,0,Negative,NA,NA,1,Adrianna,SP7516,SP7503916162,475039,216162,0,Negative,FALSE,TRUE,NA,Negative,1,250,1,2,100,3,3,3,3,5,0.5625333840919691,NA,309A,N,N,<0.2,0.02-0.05,2,0.1,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74316,0,32905,0,0,0,0,0,0,10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT329,1,2017/05/19 00:00:00,2017/05/19 00:00:00,MATCH,257,257 Mounts Farm Park (SP8176 3486),0.3039215686274511,257,NA,Freshwater Habitats Trust,Iain Naismith,2017/05/19 17:00:00,2017/06/08 00:00:00,6,No,No,Yes,Yes,NA,2017/06/13 00:00:00,12,0,Negative,257,NA,1,Iain,SP8734,SP8776734861,487767,234861,0,Negative,FALSE,TRUE,NA,Negative,1,7129,1,3,100,2,1,1,3,30,0.37049596936652507,NA,255,Y,Y,<0.2,0.05-0.1,1,0.1,0.075,0,0,0,0,0,0,29218,0,0,0,0,110861,15014,0,7549,0,6156,0,0,0,0,0,0,0,12912,0,0,0,5068,0,0,0,0,0,0,67022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2519,0,0
FHT426,1,2017/05/15 00:00:00,2017/05/15 00:00:00,MATCH,PASTURE FARM GARDEN,123A Pasture Farm Garden (SP7788506783),0.302519118308592,NA,PASTURE FARM GARDEN,Freshwater Habitats Trust,AH,2017/05/15 13:30:00,2017/05/25 00:00:00,6,No,No,Yes,Yes,NA,2017/05/30 00:00:00,12,12,Positive,NA,NA,1,Adrianna,SP7706,SP7788506783,477885,206783,12,Positive,FALSE,FALSE,NA,Positive,1,350,2,4,90,3,4,3,3,40,0.7853874887735918,NA,123A,N,N,<0.2,0.5-1,1,0.1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59515,182700,0,0,23902,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT315,1,2017/05/21 00:00:00,2017/05/21 00:00:00,MATCH,108,108 Waterloo Farm (SP 8910 2355),0.30208333333333337,108,NA,Freshwater Habitats Trust,Iain Naismith,2017/05/21 14:15:00,2017/06/08 00:00:00,6,No,No,Yes,Yes,"; survey date on sticker 19/07/17, assumed to be 19/06/17",2017/06/13 00:00:00,12,0,Negative,108,1,NA,Iain,SP8923,SP8910123559,489101,223559,0,Negative,FALSE,TRUE,Negative,NA,1,720,1,2,100,2,2,10,3,5,0.5608565594079886,NA,108,Y,Y,10+,0.05-0.1,0,11,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93965,0,0,0,49358,0,0,0,7933,0,0,15779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT402,1,2017/05/16 00:00:00,2017/05/16 00:00:00,MATCH,BRIAR HILL FARM,159A Brior Hill Farm (SP7537017226),0.3015873015873016,NA,BRIAR HILL FARM,Freshwater Habitats Trust,AH,2017/05/16 13:30:00,2017/05/25 00:00:00,6,No,No,Yes,Yes,NA,2017/05/30 00:00:00,12,2,Positive,NA,1,NA,Adrianna,SP7517,SP7537017226,475370,217226,2,Positive,FALSE,FALSE,Positive,NA,1,115,2,4,20,3,4,2,2,80,0.7339756695715435,NA,159A,N,N,<0.2,0.5-1,1,0.1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43810,0,0,0,0,0,0,0,0,0,0,0,0,0,70139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT353,1,2017/06/19 00:00:00,2017/06/19 00:00:00,MATCH,173,173 Apsley Guise Golf West Pond,0.30107526881720437,173,NA,Freshwater Habitats Trust,Iain Naismith,2017/06/19 12:30:00,2017/06/22 00:00:00,6,No,No,Yes,Yes,NA,2017/06/27 00:00:00,12,0,Negative,173,1,NA,Iain,SP9336,SP9357036478,493570,236478,0,Negative,FALSE,TRUE,Negative,NA,1,390,3,3,5,2,4,5,3,70,0.7998304392479355,NA,173,Y,Y,<0.2,0.02-0.05,2,0.1,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT371,2,2017/06/19 00:00:00,2017/06/19 00:00:00,MATCH,134,134 Apsley Guise Golf East Pond,0.30107526881720437,134,NA,Freshwater Habitats Trust,Iain Naismith,2017/06/19 13:15:00,2017/06/22 00:00:00,6,No,No,Yes,Yes,NA,2017/06/27 00:00:00,12,1,Positive,134,1,NA,Iain,SP9336,SP9363636525,493636,236525,2,Positive,FALSE,FALSE,Positive,NA,1,254.50199999999998,1,4,0,2,3,5,4,30,0.8056078649671735,NA,134,Y,Y,<0.2,0.1-0.2,1,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36696,0,715114,4326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT371,1,2017/06/19 00:00:00,2017/06/19 00:00:00,MATCH,134,134 Apsley Guise Golf East Pond,0.30107526881720437,134,NA,Freshwater Habitats Trust,Iain Naismith,2017/06/19 13:15:00,2017/06/22 00:00:00,6,No,No,Yes,Yes,NA,2017/06/27 00:00:00,12,1,Positive,134,1,NA,Iain,SP9336,SP9363636525,493636,236525,2,Positive,FALSE,FALSE,Positive,NA,1,254.50199999999998,1,4,0,2,3,5,4,30,0.8056078649671735,NA,134,Y,Y,<0.2,0.1-0.2,1,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6019,0,334563,1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT411,1,2017/05/29 00:00:00,2017/05/29 00:00:00,MATCH,576 LONDON ROAD,576-London Road (SP7153531523),0.30000000000000004,576,LONDON ROAD,Freshwater Habitats Trust,AH,2017/05/29 12:00:00,2017/06/01 00:00:00,6,No,No,Yes,Yes,NA,2017/06/01 00:00:00,12,0,Negative,576,NA,1,Adrianna,SP7131,SP7153531523,471535,231523,0,Negative,FALSE,TRUE,NA,Negative,1,60,4,4,40,3,4,1,3,100,0.5632894327685176,NA,576,N,N,10+,0.05-0.1,0,11,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT756,1,2017/06/08 00:00:00,2017/06/08 00:00:00,MATCH,24 Rectory Wood Pond,24,0.30000000000000004,24,Rectory Wood Pond,Freshwater Habitats Trust,HJ,NA,2017/06/22 00:00:00,6,No,No,Yes,Yes,NA,2017/06/27 00:00:00,12,1,Positive,24,1,NA,Hanna,SP9641,SP96334171,496330,241710,1,Positive,FALSE,FALSE,Positive,NA,1,750,1,3,15,2,3,6,4,20,0.8187356330545569,NA,24,N,N,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT346,1,2017/05/15 00:00:00,2017/05/15 00:00:00,MATCH,147,147 Westcroft (SP 8270 3430),0.29761904761904767,147,NA,Freshwater Habitats Trust,Iain Naismith,2017/05/15 15:10:00,2017/05/23 00:00:00,6,No,No,Yes,Yes,NA,2017/05/25 00:00:00,12,9,Positive,147,1,NA,Iain,SP8234,SP8270134297,482701,234297,10,Positive,FALSE,FALSE,Positive,NA,1,804.35199999999998,1,3,0,2,2,3,3,60,0.746269745961247,NA,147,N,N,<0.2,<0.02,2,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,1264,0,0,0,0,0,0,0,0,63386,3352,0,0,7568,0,0,0,0,0,0,2805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT922,1,2017/06/14 00:00:00,2017/06/14 00:00:00,MATCH,374,374 - Whitsundoles Newt Lake,0.29761904761904767,374,NA,Freshwater Habitats Trust,Iain Naismith,2017/06/14 17:30:00,2017/06/23 00:00:00,6,No,No,Yes,Yes,NA,2017/06/28 00:00:00,12,0,Negative,374,1,NA,Iain,SP9240,SP9227740240,492277,240240,0,Negative,FALSE,TRUE,Negative,NA,1,5027.2,1,4,40,2,1,10,4,20,0.4343114207396065,NA,373,N,N,<0.2,<0.02,2,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT698,1,2017/05/22 00:00:00,2017/05/22 00:00:00,MATCH,"286 Foxhall Junction, West of Didcot Railway Centre",Pond 286 Foxhall Junction Didcot,0.2969771241830065,286,"Foxhall Junction, West of Didcot Railway Centre",Freshwater Habitats Trust,IS,NA,2017/06/01 00:00:00,6,No,No,Yes,Yes,NA,2017/06/01 00:00:00,12,0,Negative,286,NA,1,Ian,SU5291,SU5228291386,452282,191386,0,Negative,FALSE,TRUE,NA,Negative,1,3000,1,3,85,3,2,3,3,20,0.696845301935949,NA,284,N,N,<0.2,0.2-0.5,1,0.1,0.35,0,0,0,0,0,0,0,0,0,0,0,123344,0,0,0,76604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT698,2,2017/05/22 00:00:00,2017/05/22 00:00:00,MATCH,"286 Foxhall Junction, West of Didcot Railway Centre",Pond 286 Foxhall Junction Didcot,0.2969771241830065,286,"Foxhall Junction, West of Didcot Railway Centre",Freshwater Habitats Trust,IS,NA,2017/06/01 00:00:00,6,No,No,Yes,Yes,NA,2017/06/01 00:00:00,12,0,Negative,286,NA,1,Ian,SU5291,SU5228291386,452282,191386,0,Negative,FALSE,TRUE,NA,Negative,1,3000,1,3,85,3,2,3,3,20,0.696845301935949,NA,284,N,N,<0.2,0.2-0.5,1,0.1,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT583,1,2017/06/08 00:00:00,2017/06/08 00:00:00,MATCH,40 Manor Farm Pond,40,0.2962962962962963,40,Manor Farm Pond,Freshwater Habitats Trust,HJ,NA,2017/06/22 00:00:00,6,No,No,Yes,Yes,NA,2017/06/27 00:00:00,12,0,Negative,40,1,NA,Hanna,SP9564,SP95366451,495360,264510,0,Negative,FALSE,TRUE,Negative,NA,1,560,4,2,90,3,4,13,2,30,0.5517265864765789,NA,40,N,N,<0.2,<0.2,1,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT753,1,2017/06/08 00:00:00,2017/06/08 00:00:00,MATCH,65 Abbey Farm Pond,65,0.2962962962962963,65,Abbey Farm Pond,Freshwater Habitats Trust,HJ,NA,2017/06/22 00:00:00,6,No,No,Yes,Yes,NA,2017/06/27 00:00:00,12,1,Positive,65,1,NA,Hanna,SP9451,SP94935193,494930,251930,1,Positive,FALSE,FALSE,Positive,NA,1,970,1,4,20,2,2,5,3,40,0.780809575223443,NA,65,N,N,<0.2,<0.2,1,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18376,0,0,122805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT762,1,2017/06/09 00:00:00,2017/06/09 00:00:00,MATCH,31 MKM Agri Pond 2,31,0.2962962962962963,31,MKM Agri Pond 2,Freshwater Habitats Trust,HJ,NA,2017/06/22 00:00:00,6,No,No,Yes,Yes,NA,2017/06/27 00:00:00,12,0,Negative,31,1,NA,Hanna,SP9840,SP9839240938,498392,240938,0,Negative,FALSE,TRUE,Negative,NA,1,380,2,3,1,2,3,>12,3,50,0.8095525518949972,NA,31,N,N,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT398,1,2017/05/15 00:00:00,2017/05/15 00:00:00,MATCH,PASTURE FARM SOUTH,123B Pasture Farm South (SP7772706599),0.29580896686159863,NA,PASTURE FARM SOUTH,Freshwater Habitats Trust,AH,2017/05/15 15:30:00,2017/05/25 00:00:00,6,No,No,Yes,Yes,NA,2017/05/26 00:00:00,12,4,Positive,NA,NA,1,Adrianna,SP7706,SP7772706599,477727,206599,4,Positive,FALSE,FALSE,NA,Positive,1,490,1,4,100,3,4,3,2,50,0.698040188364525,NA,123B,N,N,<0.2,0.1-0.2,1,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT891,1,2017/06/15 00:00:00,2017/06/15 00:00:00,MATCH,LITTLE WITTENHAM LOWER 195 PJW,195 - RSW Little Wittenham Lower,0.29513888888888884,NA,LITTLE WITTENHAM LOWER 195 PJW,Freshwater Habitats Trust,PSW,2017/06/15 09:15:00,2017/06/26 00:00:00,6,No,No,Yes,Yes,NA,2017/06/29 00:00:00,12,11,Positive,NA,1,NA,PSW,SU5792,SU5724092830,457240,192830,11,Positive,FALSE,FALSE,Positive,NA,1,700,1,4,90,2,3,9,4,3,0.7388518006736831,NA,195A,Y,Y,<0.2,0.02-0.05,2,0.1,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41980,0,0,3932,7852,0,0,3163,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT935,1,2017/06/29 00:00:00,2017/06/29 00:00:00,MATCH,380,380 Northern Teardrop Lake,0.29487179487179493,380,NA,Freshwater Habitats Trust,I Nailsmith,2017/06/29 15:15:00,2017/07/12 00:00:00,6,No,No,Yes,Yes,NA,2017/07/17 00:00:00,12,0,Negative,380,NA,1,Iain,SP8437,SP8439237358,484392,237358,0,Negative,FALSE,TRUE,NA,Negative,1,8000,1,3,30,2,1,4,3,10,0.4423024799347429,NA,378,Y,Y,<0.2,0.02-0.05,2,0.1,0.035,0,0,15702,0,0,0,468,0,78,0,0,21097,0,0,0,0,5363,0,0,0,0,0,0,0,305,0,0,0,345,0,0,0,1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT871,1,2017/06/06 00:00:00,2017/06/06 00:00:00,MATCH,761 RECTORY FARM RESERVOIR 761,761 - Nearby Farm N Reservoir (SP 57660 09530),0.2943961352657005,761,RECTORY FARM RESERVOIR 761,Freshwater Habitats Trust,Penny Williams,2017/06/06 17:00:00,2017/06/16 00:00:00,6,No,No,Yes,Yes,NA,2017/06/22 00:00:00,12,0,Negative,761,NA,1,Penny Williams,SP5709,SP5705309051,457053,209660,0,Negative,FALSE,TRUE,NA,Negative,1,7600,1,4,10,2,3,5,2,12,0.7651159758379419,NA,760,N,Y,0.5-1,<0.02,1,0.75,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110198,0,0,0,0,0,0,0,0,0,0,0,0,41667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT293,1,2017/05/15 00:00:00,2017/05/15 00:00:00,MATCH,79,79 (SP 8012 3842),0.2941176470588236,79,NA,Freshwater Habitats Trust,Iain Naismith,2017/05/15 11:20:00,2017/05/23 00:00:00,6,No,No,Yes,Yes,NA,2017/05/24 00:00:00,12,0,Negative,79,1,NA,Iain,SP8038,SP8012038417,480120,238417,0,Negative,FALSE,TRUE,Negative,NA,1,490.9375,3,3,90,2,3,7,3,10,0.6511496513411562,NA,79,N,N,<0.2,<0.02,2,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5380,0,0,0,150303,0,0,0,0,0,54691,89951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT318,1,2017/05/12 00:00:00,2017/05/12 00:00:00,MATCH,49,49 (SP 8800 3872),0.2941176470588236,49,NA,Freshwater Habitats Trust,Iain Naismith,2017/05/12 14:45:00,2017/05/23 00:00:00,6,No,No,Yes,Yes,NA,2017/05/24 00:00:00,1,0,Inconclusive,49,1,NA,Iain,SP8838,SP8800238716,488002,238716,0,Inconclusive,FALSE,FALSE,Inconclusive,NA,1,804,2,3,0,1,3,7,3,30,0.5305913595635737,NA,49,Y,Y,<0.2,0.02-0.05,2,0.1,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT330,1,2017/05/19 00:00:00,2017/05/19 00:00:00,MATCH,69,69 (SP 5920 3472),0.2941176470588236,69,NA,Freshwater Habitats Trust,Iain Naismith,2017/05/19 13:20:00,2017/06/08 00:00:00,6,No,No,Yes,Yes,NA,2017/06/13 00:00:00,12,0,Negative,69,1,NA,Iain,SP8934,SP8920634728,489206,234728,0,Negative,FALSE,TRUE,Negative,NA,1,400,1,4,40,2,3,5,2,10,0.7257348254391471,NA,69,Y,Y,<0.2,<0.02,2,0.1,0.01,0,0,602,0,0,0,0,246,20071,0,0,78255,0,0,9288,124140,0,0,0,0,7405,0,0,0,45863,15635,0,0,0,0,9700,25065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT914,1,2017/05/16 00:00:00,2017/05/16 00:00:00,MATCH,83,83 - Borough Farm,0.2941176470588236,83,NA,Freshwater Habitats Trust,Iain Naismith,2017/05/16 17:45:00,2017/06/23 00:00:00,6,No,No,Yes,Yes,NA,2017/06/28 00:00:00,12,1,Positive,83,1,NA,Iain,SP8530,SP8577530293,485775,230293,1,Positive,FALSE,FALSE,Positive,NA,1,720,1,4,1,3,3,3,2,60,0.8101366269242147,NA,83,N,N,<0.2,0.1-0.2,1,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT918,NA,2017/06/14 00:00:00,2017/06/14 00:00:00,MATCH,145,145 - Herritage farm No 3,0.29333333333333333,145,NA,Freshwater Habitats Trust,Iain Naismith,2017/06/14 16:15:00,2017/06/23 00:00:00,6,No,No,Yes,Yes,NA,2017/06/28 00:00:00,12,1,Positive,145,NA,1,Iain,SP8941,SP8987141231,489871,241231,9,Positive,FALSE,FALSE,NA,Positive,1,900,1,4,70,3,2,2,4,20,0.7596971909842739,NA,145,N,N,<0.2,0.05-0.1,1,0.1,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHT925,1,2017/06/14 00:00:00,2017/06/14 00:00:00,MATCH,478,478 - Herritage Farm No.2,0.29333333333333333,478,NA,Freshwater Habitats Trust,Iain Naismith,2017/06/14 15:00:00,2017/06/23 00:00:00,6,No,No,Yes,Yes,NA,2017/06/28 00:00:00,12,0,Negative,478,NA,1,Iain,SP8942,SP8963642918,489636,242918,0,Negative,FALSE,TRUE,NA,Negative,1,78.55,1,4,90,3,4,2,4,20,0.6755640319596523,NA,478,Y,Y,<0.2,<0.02,2,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT324,1,2017/06/25 00:00:00,2017/06/25 00:00:00,MATCH,25,25 (TL0199 3446),0.29166666666666674,25,NA,Freshwater Habitats Trust,Iain Naismith,2017/06/25 09:45:00,2017/06/08 00:00:00,6,No,No,Yes,Yes,"; survey date on sticker 25/07/17, assumed to be 25/06/17; two different pond grid refs given, used TL0134",2017/06/13 00:00:00,12,0,Negative,25,1,NA,Iain,TL0134,TL0189134615,501891,234615,0,Negative,FALSE,TRUE,Negative,NA,1,1194.7455,3,2,60,3,4,7,3,10,0.7267920509020304,NA,25,N,Y,<0.2,0.05-0.1,1,0.1,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
